fold,split,label,class_name,image_count,source_group_count
5,validation,0,01_TUMOR,120,1
5,validation,1,02_STROMA,68,1
5,validation,2,03_COMPLEX,84,1
5,validation,3,04_LYMPHO,6,1
5,validation,4,05_DEBRIS,59,1
5,validation,5,06_MUCOSA,77,1
5,validation,6,07_ADIPOSE,89,1
6,test,0,01_TUMOR,120,1
6,test,1,02_STROMA,68,1
6,test,2,03_COMPLEX,84,1
6,test,3,04_LYMPHO,6,1
6,test,4,05_DEBRIS,59,1
6,test,5,06_MUCOSA,77,1
6,test,6,07_ADIPOSE,89,1
6,train,0,01_TUMOR,450,8
6,train,1,02_STROMA,534,8
6,train,2,03_COMPLEX,516,8
6,train,3,04_LYMPHO,611,8
6,train,4,05_DEBRIS,373,8
6,train,5,06_MUCOSA,463,6
6,train,6,07_ADIPOSE,536,5
6,train,7,08_EMPTY,625,2
6,validation,0,01_TUMOR,55,1
6,validation,1,02_STROMA,23,1
6,validation,2,03_COMPLEX,25,1
6,validation,3,04_LYMPHO,8,1
6,validation,4,05_DEBRIS,193,1
6,validation,5,06_MUCOSA,85,1
7,test,0,01_TUMOR,55,1
7,test,1,02_STROMA,23,1
7,test,2,03_COMPLEX,25,1
7,test,3,04_LYMPHO,8,1
7,test,4,05_DEBRIS,193,1
7,test,5,06_MUCOSA,85,1
7,train,0,01_TUMOR,493,8
7,train,1,02_STROMA,571,8
7,train,2,03_COMPLEX,548,8
7,train,3,04_LYMPHO,532,8
7,train,4,05_DEBRIS,411,8
7,train,5,06_MUCOSA,464,6
7,train,6,07_ADIPOSE,625,6
7,train,7,08_EMPTY,625,2
7,validation,0,01_TUMOR,77,1
7,validation,1,02_STROMA,31,1
7,validation,2,03_COMPLEX,52,1
7,validation,3,04_LYMPHO,85,1
7,validation,4,05_DEBRIS,21,1
7,validation,5,06_MUCOSA,76,1
8,test,0,01_TUMOR,77,1
8,test,1,02_STROMA,31,1
8,test,2,03_COMPLEX,52,1
8,test,3,04_LYMPHO,85,1
8,test,4,05_DEBRIS,21,1
8,test,5,06_MUCOSA,76,1
8,train,0,01_TUMOR,523,8
8,train,1,02_STROMA,567,8
8,train,2,03_COMPLEX,516,8
8,train,3,04_LYMPHO,527,8
8,train,4,05_DEBRIS,573,8
8,train,5,06_MUCOSA,549,7
8,train,6,07_ADIPOSE,575,5
8,train,7,08_EMPTY,590,1
8,validation,0,01_TUMOR,25,1
8,validation,1,02_STROMA,27,1
8,validation,2,03_COMPLEX,57,1
8,validation,3,04_LYMPHO,13,1
8,validation,4,05_DEBRIS,31,1
8,validation,6,07_ADIPOSE,50,1
8,validation,7,08_EMPTY,35,1
9,test,0,01_TUMOR,25,1
9,test,1,02_STROMA,27,1
9,test,2,03_COMPLEX,57,1
9,test,3,04_LYMPHO,13,1
9,test,4,05_DEBRIS,31,1
9,test,6,07_ADIPOSE,50,1
9,test,7,08_EMPTY,35,1
9,train,0,01_TUMOR,546,8
9,train,1,02_STROMA,547,8
9,train,2,03_COMPLEX,496,8
9,train,3,04_LYMPHO,404,8
9,train,4,05_DEBRIS,579,8
9,train,5,06_MUCOSA,624,7
9,train,6,07_ADIPOSE,575,5
9,train,7,08_EMPTY,590,1
9,validation,0,01_TUMOR,54,1
9,validation,1,02_STROMA,51,1
9,validation,2,03_COMPLEX,72,1
9,validation,3,04_LYMPHO,208,1
9,validation,4,05_DEBRIS,15,1
9,validation,5,06_MUCOSA,1,1
